,Intern_Role,Company_Name,Location,Duration,Stipend
70,Game Development,IDZ Digital Private Limited,Mumbai,3 Months, 10000 /month
71,Laravel Development,Astrople Technology Solutions LLP,Work From Home,3 Months, 5000 /month
72,Software Development,Pravartee Sales Private Limited,Noida,6 Months, 10000 /month
73,Machine Learning,ExpandAcross Technologies Private Limited,Work From Home,3 Months, 5000 /month +  Incentives
74,Django/DRF/ML Engineering,Hubnine India Private Limited,Work From Home,6 Months, 5000-10000 /month
75,Software Development,Transasia Bio Medicals Limited,Thane,6 Months, 10000 /month
76,Python/AIML/RPA Development,NatWest Group,Work From Home,6 Months, 15000 /month
77,Software Development,Metapercept Technology Services,Pune,6 Months, 5000-10000 /month
78,Machine Learning & Data Science,Peach,Noida,3 Months, 10000 /month
79,Computer Vision(ML/CNN/AI),Peach,Noida,3 Months, 10000 /month
80,Software Development,Speqto Technologies,Noida,3 Months, 15000 /month
81,Game Development,Zeedup Technologies & Services,Work From Home,3 Months, 25000 /month
82,Test Automation,NatWest Group,Work From Home,6 Months, 15000 /month
83,Flutter Development,Techniek,Noida,3 Months, 22000 /month
84,Unity Game Development,Adorta,Work From Home,2 Months, 1000 /month
85,React Native Development,Proffus,Work From Home,3 Months, 10000 /month
86,Scormer/E-learning Development,Global Talent Track,Pune,3 Months, 10000 /month
87,ReactJS Development,Growth Natives,Ambala,6 Months, 15000 /month
88,AI & Robotics Instruction,STEMpedia,Ahmedabad,6 Months, 8000-12000 /month
89,Java Development,Skooly,Chennai,2 Months, 10000-15000 /month
90,Mobile App Development,Bunnylead,Work From Home,2 Months, 1000 /month
91,Software Engineering (Robotics),Kanan Park Technologies LLP,Pune,3 Months, 7000-10000 /month
92,Virtual Reality Unity 3D Development,Gesture Research,Chandigarh,6 Months, 15000 /month
93,Salesforce Cloud Technology,Dawn Digitech,Work From Home,3 Months, 1000-5000 /month
94,Artificial Intelligence (AI)/Deep Learning/Python Development,Qodeit,Delhi,6 Months, 2000 /month
95,ReactJS Development,vDoIT Technologies Private Limited,Work From Home,6 Months, 8000 /month
96,Game Design,IDZ Digital Private Limited,Work From Home,6 Months, 8000 /month
97,Unity Game Development,IDZ Digital Private Limited,Mumbai,6 Months, 8000 /month
98,Software Development,IDZ Digital Private Limited,Mumbai,3 Months, 8000 /month
99,DevOps Development,Seedwill,Gurgaon,3 Months, 12000 /month
100,Flutter Development,Gloify,Bangalore,4 Months, 10000 /month
101,Unity Development,Onerostech,Work From Home,3 Months, 5000 /month
102,Backend Engineering,Baaz,Bangalore,6 Months, 15000 /month
103,Medical Data Annotation,Biz-Tech Analytics,Work From Home,1 Month, 15000-20000 /month
104,Python Development,KUKbit Software Lab,Pune,2 Months, 3000 /month
105,Flutter Development,Jantu,Work From Home,2 Months, 10000-15000 /month
106,2D Game Artist,The Learning Buddy,Gurgaon,6 Months, 5000-10000 /month
107,Research (AI/ML),Blackcoffer,Work From Home,6 Months, 5000 /month
108,Java Development,Seedwill,Gurgaon,3 Months, 15000 /month
